10	9.61	5.00
11	8.70	4.54
12	7.94	4.16
13	7.29	3.84
14	6.74	3.57
15	6.26	3.33
16	5.85	3.12
17	5.48	2.94
18	5.15	2.77
19	4.85	2.63
20	4.59	2.50
21	4.35	2.38
22	4.13	2.27
23	3.93	2.17
24	3.75	2.08
25	3.59	2.00
26	3.43	1.92
27	3.29	1.85
28	3.16	1.78
29	3.03	1.72
30	2.92	1.66
31	2.81	1.61
32	2.71	1.56
33	2.61	1.51
34	2.52	1.47
35	2.44	1.42
36	2.36	1.38
37	2.28	1.35
38	2.21	1.31
39	2.14	1.28
40	2.08	1.25
41	2.02	1.21
42	1.96	1.19
43	1.90	1.16
44	1.85	1.13
45	1.80	1.11
46	1.75	1.08
47	1.71	1.06
48	1.66	1.04
49	1.62	1.02
50	1.58	1.00
51	1.54	0.98
52	1.50	0.96
53	1.46	0.94
54	1.43	0.92
55	1.39	0.90
56	1.36	0.89
57	1.33	0.87
58	1.30	0.86
59	1.27	0.84
60	1.24	0.83
61	1.21	0.81	
62	1.19	0.80
63	1.16	0.79
64	1.14	0.78
65	1.11	0.76
66	1.09	0.75
67	1.07	0.74
68	1.05	0.73
69	1.02	0.72
70	1.00	0.71
71	0.98	0.70
72	0.96	0.69
73	0.94	0.68
74	0.93	0.67
75	0.91	0.66
76	0.89	0.65
77	0.87	0.64
78	0.86	0.64
79	0.84	0.63
80	0.82	0.62
81	0.81	0.61
82	0.79	0.60
83	0.78	0.60
84	0.76	0.59
85	0.75	0.58
86	0.74	0.58
87	0.72	0.57
88	0.71	0.56
89	0.70	0.56
90	0.68	0.55
91	0.67	0.54
92	0.66	0.54
93	0.65	0.53
94	0.64	0.53
95	0.63	0.52
96	0.61	0.52
97	0.60	0.51
98	0.59	0.51
99	0.58	0.50
100	0.57	0.50
101	0.56	0.49
102	0.55	0.49
103	0.54	0.48
104	0.53	0.48
105	0.52	0.47
107	0.51	0.46
108	0.50	0.46
109	0.49	0.45
110	0.48	0.45
111	0.47	0.45
112	0.46	0.44
114	0.45	0.43
115	0.44	0.43	
116	0.43	0.43
118	0.42	0.42
119	0.41	0.42
121	0.40	0.41
122	0.39	0.40
123	0.38	0.40
125	0.37	0.40
127	0.36	0.39
128	0.35	0.39
130	0.34	0.38
131	0.33	0.38
133	0.32	0.37
135	0.31	0.37
137	0.30	0.36
139	0.29	0.35
141	0.28	0.35
143	0.27	0.34
145	0.26	0.34
147	0.25	0.34
149	0.24	0.33
